Text,Original_OCR,Latitude,Longitude,Method,Status,Source_Image
Managua,Managua,12.1544035,-86.2737642,Original,Exact Match,9615000_h8_w6.png
Davis,Davis,38.5435526,-121.739005,Original,Exact Match,9619000_h5_w6.png
Forst,Forst,51.7438586,14.6455395,Geoapify (Corrected),Fixed Typo (FORt -> Forst),9629002_h3_w7.png
Reservoir,Reservoir,-37.7123767,145.0074935,Geoapify (Corrected),Fixed Typo (Reservoi -> Reservoir),9629002_h3_w7.png
Larne,Larne,54.8508458,-5.8183116,Geoapify (Corrected),Fixed Typo (LANE -> Larne),9629002_h3_w7.png
Poole,Poole,50.7179472,-1.981521,Geoapify (Corrected),Fixed Typo (Pool -> Poole),9629002_h3_w7.png
Goma,Goma,-1.6665685,29.225652,Geoapify (Corrected),Fixed Typo (Gompa -> Goma),9643001_h3_w8.png
Pori,Pori,61.4866126,21.7972071,Geoapify (Corrected),Fixed Typo (Ponri -> Pori),9643001_h3_w8.png
Goma,Goma,-1.6665685,29.225652,Geoapify (Corrected),Fixed Typo (Gompa -> Goma),9643001_h3_w8.png
Goma,Goma,-1.6665685,29.225652,Geoapify (Corrected),Fixed Typo (Gompa -> Goma),9643001_h3_w8.png
Plattsburgh,Plattsburgh,44.6960855,-73.4542915,Geoapify (Corrected),Fixed Typo (PLATTSBURG -> Plattsburgh),9685000_h4_w3.png
Lathrop,Lathrop,37.8227046,-121.27661,Geoapify (Corrected),Fixed Typo ('Lathrop -> Lathrop),9685000_h4_w3.png
Dearborn,Dearborn,42.3222599,-83.1763145,Original,Exact Match,9685000_h4_w3.png
Holt,Holt,48.2919155,-96.1925311,Original,Exact Match,9685000_h4_w3.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (CITY -> Coity),9685000_h4_w3.png
Kearney,Kearney,40.699478,-99.081858,Original,Exact Match,9685000_h4_w3.png
Springs,Springs,41.0162112,-72.1592444,Original,Exact Match,9685000_h4_w3.png
Nashua,Nashua,42.7656251,-71.4677032,Original,Exact Match,9685000_h4_w3.png
Parkville,Parkville,39.3773292,-76.5396875,Original,Exact Match,9685000_h4_w3.png
Atherton,Atherton,37.453773,-122.2058272,Original,Exact Match,9685000_h4_w3.png
Independence,Independence,39.0924792,-94.4137923,Original,Exact Match,9685000_h4_w3.png
Topeka,Topeka,39.049011,-95.677556,Original,Exact Match,9685000_h4_w3.png
Valls,Valls,41.2835355,1.2473637,Geoapify (Corrected),Fixed Typo (Vall -> Valls),9685000_h4_w3.png
Longview,Longview,32.5007031,-94.74049,Original,Exact Match,9685000_h4_w3.png
Eger,Eger,47.8989887,20.3743665,Geoapify (Corrected),Fixed Typo (Edger -> Eger),9685000_h4_w3.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9685000_h4_w3.png
Weston,Weston,26.1003392,-80.399513,Original,Exact Match,9685000_h4_w3.png
Tracy,Tracy,37.7385507,-121.420139,Original,Exact Match,9685000_h4_w3.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9685000_h4_w3.png
Springs,Springs,41.0162112,-72.1592444,Original,Exact Match,9685000_h4_w3.png
Hille,Hille,52.3360492,8.7452571,Geoapify (Corrected),Fixed Typo (Hill -> Hille),9687122_h2_w2.png
Columbia,Columbia,34.000754,-81.0352313,Geoapify (Corrected),Fixed Typo (COLUMBIAY -> Columbia),9687122_h2_w2.png
Florin,Florin,40.1134949,-76.5256964,Geoapify (Corrected),Fixed Typo (FLORI -> Florin),9687122_h2_w2.png
Massy,Massy,49.6902106,1.399492,Geoapify (Corrected),Fixed Typo (MAsS -> Massy),9687122_h2_w2.png
Burke,Burke,31.2318536,-94.7685411,Geoapify (Corrected),Fixed Typo (WBurke -> Burke),9731011_h2_w2.png
Kirkby,Kirkby,53.4821071,-2.8886045,Geoapify (Corrected),Fixed Typo (KiRBY -> Kirkby),9731011_h2_w2.png
Bath,Bath,43.9133661,-69.8140298,Original,Exact Match,9731011_h2_w2.png
Hyde Park,Hyde Park,41.7944464,-87.5939244,Geoapify (Corrected),Fixed Typo (HYDE PARlk -> Hyde Park),9731011_h2_w2.png
Mansfield,Mansfield,53.1443785,-1.1964165,Geoapify (Corrected),Fixed Typo (Mansfiels -> Mansfield),9731011_h2_w2.png
Chinú,Chinú,9.1063553,-75.3989007,Geoapify (Corrected),Fixed Typo (Chin -> Chinú),9731011_h2_w2.png
Springs,Springs,-26.2550033,28.4373147,Geoapify (Corrected),Fixed Typo (Isprings -> Springs),9731011_h2_w2.png
Waterbury,Waterbury,41.5538091,-73.0438362,Geoapify (Corrected),Fixed Typo (waterbuty -> Waterbury),9731011_h2_w2.png
Northfield,Northfield,44.4582041,-93.161159,Geoapify (Corrected),Fixed Typo (Northlield -> Northfield),9731011_h2_w2.png
Telde,Telde,27.9984538,-15.4166761,Geoapify (Corrected),Fixed Typo (TELD -> Telde),9731011_h2_w2.png
Springs,Springs,-26.2550033,28.4373147,Geoapify (Corrected),Fixed Typo ({Springs -> Springs),9731011_h2_w2.png
Ashington,Ashington,55.1832364,-1.57027,Original,Exact Match,9731011_h2_w2.png
Haverhill,Haverhill,42.7777829,-71.0767724,Geoapify (Corrected),Fixed Typo (Haverhil -> Haverhill),9731011_h2_w2.png
Biak,Biak,-1.1836086,136.0816321,Geoapify (Corrected),Fixed Typo (Biack -> Biak),9731011_h2_w2.png
Bradford,Bradford,41.1774952,-89.6578789,Original,Exact Match,9731011_h2_w2.png
Springs ,Springs ,41.0162112,-72.1592444,Original,Exact Match,9731011_h2_w2.png
Alton,Alton,38.8908583,-90.1843091,Original,Exact Match,9731011_h2_w2.png
Alton,Alton,38.8908583,-90.1843091,Geoapify (Corrected),Fixed Typo (ralton -> Alton),9731011_h2_w2.png
Haney,Haney,43.238677100000004,-90.84370978598098,Geoapify (Corrected),Fixed Typo (hney -> Haney),9731011_h2_w2.png
Hillside,Hillside,41.8778084,-87.9028398,Original,Exact Match,9733049_h4_w8.png
Hille,Hille,52.3360492,8.7452571,Geoapify (Corrected),Fixed Typo (Hill -> Hille),9733049_h4_w8.png
Harper,Harper,41.3624875,-92.0510088,Geoapify (Corrected),Fixed Typo (Harpere -> Harper),9733049_h4_w8.png
Rockledge,Rockledge,28.330831,-80.7349162,Geoapify (Corrected),Fixed Typo (Rockledges -> Rockledge),9733049_h4_w8.png
Fox Chase,Fox Chase,38.0456219,-85.6927366,Original,Exact Match,9733049_h4_w8.png
Asan,Asan,13.4721533,144.7165731,Original,Exact Match,9733049_h4_w8.png
Melrose,Melrose,42.4564323,-71.064182,Geoapify (Corrected),Fixed Typo (elrose -> Melrose),9733049_h4_w8.png
Allen,Allen,33.1031744,-96.6705503,Original,Exact Match,9733049_h4_w8.png
Cheltenham,Cheltenham,40.0609445,-75.0940625,Original,Exact Match,9733049_h4_w8.png
Tabora,Tabora,-5.0202431,32.8097724,Geoapify (Corrected),Fixed Typo (Tabor -> Tabora),9733049_h4_w8.png
Eving,Eving,51.5481277,7.4650456,Geoapify (Corrected),Fixed Typo (Ving -> Eving),9733049_h4_w8.png
Olney,Olney,33.3711244,-98.7566946,Original,Exact Match,9733049_h4_w8.png
Queens,Queens,40.7135078,-73.8283132,Geoapify (Corrected),Fixed Typo (Queen -> Queens),9733049_h4_w8.png
Erie,Erie,42.1294712,-80.0852695,Original,Exact Match,9733049_h4_w8.png
Prata,Prata,-28.7849383,-51.6091999,Geoapify (Corrected),Fixed Typo (RatA -> Prata),9733049_h4_w8.png
Frankford,Frankford,38.518038,-75.233764,Original,Exact Match,9733049_h4_w8.png
Port Huron,Port Huron,42.9760854,-82.4333742,Original,Exact Match,9734118_h3_w7.png
Lansing,Lansing,42.7338254,-84.5546295,Original,Exact Match,9734118_h3_w7.png
Narra,Narra,9.2685102,118.4035463,Geoapify (Corrected),Fixed Typo (Narrag -> Narra),9734118_h3_w7.png
Scranton,Scranton,41.4086874,-75.6621294,Geoapify (Corrected),Fixed Typo (Scranton' -> Scranton),9734118_h3_w7.png
Sandusky,Sandusky,41.4561002,-82.7115813,Original,Exact Match,9734118_h3_w7.png
Cincinnati,Cincinnati,39.1014537,-84.5124602,Geoapify (Corrected),Fixed Typo (Cincinati -> Cincinnati),9734118_h3_w7.png
Lexington,Lexington,38.0464066,-84.4970393,Original,Exact Match,9734118_h3_w7.png
Detroit,Detroit,42.3315509,-83.0466403,Geoapify (Corrected),Fixed Typo (Detroitk -> Detroit),9734118_h3_w7.png
Toledo,Toledo,41.6529143,-83.5378173,Original,Exact Match,9734118_h3_w7.png
Philadelphia,Philadelphia,39.9527237,-75.1635262,Original,Exact Match,9734118_h3_w7.png
Atani,Atani,6.0149812,6.7471662,Geoapify (Corrected),Fixed Typo (Atan -> Atani),9734118_h3_w7.png
Parker,Parker,39.5184514,-104.7612638,Original,Exact Match,9734118_h3_w7.png
Lynchburg,Lynchburg,37.4137536,-79.1422464,Original,Exact Match,9734118_h3_w7.png
Aue,Aue,50.586993,12.6992687,Original,Exact Match,9734118_h3_w7.png
Knoxville,Knoxville,35.9603948,-83.9210261,Geoapify (Corrected),Fixed Typo (Knoxvile -> Knoxville),9734118_h3_w7.png
